idx,created_date,updated_date,flavor,acidity,sweetness,bitterness,body,balance,roasting_point,coffeeing_note,bean_idx
1,,,7,7,6,4,4,5,중배전,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",1
2,,,6,3,7,7,7,5,강배전,"스모크, 우아한, 중후한, 블랙커런트, 갈색설탕, 다크초코",2
3,,,8,8,7,4,5,5,중배전,"베리, 체리, 허니",3
4,,,6,6,7,6,7,5,중배전,"자몽, 당밀, 카라멜",4
5,,,7,5,6,6,6,5,중배전,"마일드, 적포도, 메이플시럽, 다크초코",5
6,,,8,6,8,4,8,5,중배전,"사과, 자두, 살구, 스카치 캔디, 조청, 밀크초코",6
7,,,5,5,6,5,6,5,중배전,"카라멜, 산뜻한, 자연스러운, 가벼운, 건포도, 땅콩",7
8,,,6,6,6,6,6,5,중배전,"오렌지, 시트러스, 아몬드, 땅콩, 조청, 갈색설탕",8
9,,,7,5,7,7,7,5,중배전,"가벼운, 균형잡힌, 풍부한, 헤이즐넛, 바닐라, 카카오",9
10,,,7,5,7,6,6,5,중배전,"균형잡힌, 고소한, 피넛, 시트러스, 쿠키",10
11,,,8,6,8,4,6,5,중배전,"아몬드, 고소한, 오렌지, 시트러스, 달고나, 균형잡힌, 코코넛밀크, ",11
12,,,8,8,8,4,6,5,중배전,"견과류, 복숭아, 청포도, 딸기, 갈색설탕, 균형잡힌",12
13,,,8,7,7,5,7,5,중배전,"플로럴, 귤, 조청, 견과류",13
14,,,8,8,7,5,6,5,중배전,"플로럴, 귤, 복숭아, 밀크초코",14
15,,,6,5,7,7,7,5,강배전,"블랙커런트, 땅콩, 갈색설탕",15
16,,,4,5,7,5,7,5,강배전,"오렌지, 카라멜, 아몬드",16
17,,,8,3,6,6,7,5,중배전,"오트밀, 카라멜, 세이보리",17
18,,,6,6,6,6,5,5,중배전,"열대과일, 사탕수수, 카카오",18
19,,,8,8,8,5,7,5,중배전,"허니, 사과, 복숭아, 달고나",19
20,,,6,5,6,5,6,5,중배전,"감귤, 호박고구마, 초코",20
21,,,8,7,8,6,7,5,중배전,"오렌지, 크랜베리, 헤이즐넛, 초코",21
22,,,7,4,6,8,8,5,중배전,"오크나무, 견과류, 밀크초코",22
23,,,6,2,6,6,6,5,중배전,"아몬드, 토스트, 보리",23
24,,,7,6,6,5,6,5,중배전,"레드와인, 레몬, 코코아",24
25,,,6,4,6,6,7,5,중배전,"스카치캔디, 밀크초코, 마카다미아",25
26,,,8,6,8,6,8,5,중배전,-,26
27,,,8,6,6,6,8,5,강배전,-,27
28,,,7,8,6,2,4,5,약배전,"자두, 부드러운, 플로럴, 깔끔한, 깊은",28
29,,,7,2,6,5,7,5,중배전,"현미, 고소한, 풍부한",29
30,,,6,4,8,6,8,5,중배전,"스모크, 아몬드, 다크초코, 묵직한",30
31,,,8,6,6,6,8,5,중배전,"마일드한, 부드러운",31
32,,,6,6,8,5,6,6,강배전,"옥수수, 보리",32
33,,,4,4,6,5,6,6,중배전,"곡물, 견과류, 마일드, 부드러운, 고소한",33
34,,,8,6,6,5,6,6,중배전,"과일, 플로럴, 묵직한, 풍부한",34
35,,,8,6,6,5,6,6,중배전,"레드와인, 과일, 깔끔한, 깊은",35
36,,,8,4,8,5,8,8,강배전,"감초, 다크초코, 강한, 개성전인, 풍부한, 깊은, 깔끔한, 부드러운",36
37,,,6,4,8,5,8,8,강배전,"오렌지, 초코, 부드러운, 진한, 풍부한, 아침",37
38,,,4,6,6,5,6,8,강배전,"메이플시럽, 카라멜, 균형있는, 깔끔한, 클래식, 밝은",38
39,,,6,4,8,5,6,8,강배전,"라임, 초코, 자메이카, 블루마운틴",39
40,,,6,4,8,5,8,8,강배전,"다크초코, 아몬드, 고소한, 달콤한, 여운있는",40
41,,,4,4,6,5,6,6,강배전,"푸른사과, 카라멜, 깔끔한",41
42,,,6,4,6,5,6,8,강배전,"호두파이, 땅콩, 복잡한, 맑은, 가벼운, 산뜻한",42
43,,,6,4,8,5,8,8,강배전,"포도, 초코, 쌉쌀한, 청량한, 달콤판, 균형있는",43
44,,,6,4,8,5,8,8,강배전,"오렌지, 초코, 콜롬비아, 수프리모, 고소한, 달콤한",44
45,,,8,4,8,5,8,8,강배전,"스모크, 견과류, 과테말라, 안티구아, 고소한, 달콤한",45
46,,,6,4,8,5,8,8,강배전,"땅콩, 레드와인, 에티오피아, 예가체프, 고소한, 달콤한",46
47,,,6,4,8,5,8,8,강배전,"곡물, 견과류, 브라질, 산토스, 고소한, 달콤한",47
